source_table,row_id,column_name,value,deleted_row
medications,7b7699b3-8a41-45e1-ac7a-3c1d806d2d03,notes,,
medications,908b8fdc-ea74-4681-9a6a-06b50d4e48c8,notes,,
medications,cf2abec6-5b39-453d-8c79-3dcf9727cdfa,notes,Stopped 2026-06-24 as a trial; noted gut felt much better afterward.,
medications,ba44d741-13e1-4aaf-8c4c-8bb30eed40a5,notes,,
medications,e3ce5f89-62af-43f6-af2e-0ef09ba1b2b7,notes,,
medications,da1b1f32-7fa7-4f47-9fa0-92540ac6701b,notes,,
medications,c6cdab14-2a75-4cef-ac69-e1e96cc475a2,notes,,
medications,39e0595e-1593-4eb8-b700-3b6fefd664d0,notes,Sent to Microsoft pharmacy 2026-06-22.,
medications,8de8f79c-a3b9-43cb-9bd5-1849b949a6e8,notes,,
medications,2f8a3eb6-594f-4a94-a88b-8a3578593411,notes,Shift PHGG from after-lunch to before bed (2026-05-19).,
medications,5d0df27b-2776-443e-bd02-f1439e14f3a4,notes,,
medications,c8c8ac8b-dcbf-4ec7-8e7b-43356539fe36,notes,,
medications,1b0be25d-2890-438b-98f1-e913cde11da0,notes,,
medications,6d88ce2e-fcf5-4845-a7a0-e65464094f1a,notes,,
medications,a2a649a6-48ae-4a72-9694-5c3f31a46397,notes,"Insurance denied 2026-02-02; ordered 42x550mg from canshipmeds ($127, conf #437772).",
medications,43598885-8cd9-432c-851c-e738c7346b18,notes,Could switch to magnesium oxide (a bit stronger) if needed.,
medications,b12c6072-43bf-40b8-9059-2da3db6dd7e8,notes,,
medications,69b6d055-07f1-486f-b8a9-9d45f402a39e,notes,,
medications,279d12a4-1604-4e61-8e5d-0cff791b9705,notes,,
allergies,5e7566ab-56cc-4360-b642-8c47f0e5c805,notes,"The only reaction was in 1997. Severe anaphylaxis with facial, lip, neck swelling. Required an epinephrine shot. No reactions since then.",
insurance_plans,f6b8ca88-8540-4665-817c-756876b856f9,notes,Medical ID and RX ID both 771755053367.,
insurance_plans,08f85804-4351-43c2-a05c-7b42a4c52a52,notes,,
insurance_plans,ebad8fc9-b72b-46da-a0c0-b77da87b3216,notes,,
organizations,6b995cff-0b31-419d-a81f-d9230a652712,notes,,
organizations,93368158-1363-4d5b-82ad-1da95d8d8a29,notes,,
organizations,1cc4bd8c-e384-4063-a00d-91218f380daa,notes,,
organizations,9ba8ebc0-78db-4ca7-8ebe-bdeb4f73cf0c,notes,,
organizations,d2b678ae-3956-46a3-b252-534f93fe3f61,notes,,
organizations,51284334-fe28-4c61-861f-10c009f87a8d,notes,,
organizations,e37a092b-822e-4729-8e35-cb9bfa4de5f3,notes,,
organizations,8460175c-2e5c-40c1-a982-a99588f83e76,notes,,
organizations,0a149e7e-e7e7-4e37-ae2e-0f671321f093,notes,,
organizations,6cd91be6-4d75-49ce-a98f-80106d71bde7,notes,,
organizations,7c342097-7bed-4672-96ea-a55c44def599,notes,,
organizations,46c5abb3-97fb-4984-93dc-2e9fb3a1dcc3,notes,,
organizations,71a36f25-1374-4e6c-bdf5-7ac224cca3f2,notes,,
organizations,926dc8f2-ee7d-4e39-86fd-e45180965db1,notes,,
organizations,ac7a218d-8cba-4bcc-a9ba-ff3111d3fe20,notes,,
organizations,36e9d2c1-b71e-4865-b774-5d88f7d56f37,notes,,
organizations,9a175681-495c-4225-9671-3a318d70d14d,notes,,
organizations,26ee0d47-0246-4ad6-aa4b-33d0220bfb18,notes,,
organizations,310f9e74-6fc2-4d33-91a0-92b104b134b5,notes,,
organizations,e110c692-5159-4ed8-bee5-2f991a5a7ba7,notes,MyChart.,
organizations,f27105de-4e75-4520-a6f5-a1d902a55169,notes,,
organizations,577d2b89-6e7b-4358-83ef-0199ba45cfd8,notes,,
organizations,a959115d-7463-4d24-a504-7a64e8d8fdf6,notes,In-network: 4 co-pays max over 12 months.,
organizations,d4e67850-fac2-404b-8a5a-e63f3f734fdd,notes,,
organizations,1f63ddd5-21e1-4a62-93f3-f5ff54fc69fe,notes,,
organizations,dbe697cf-a3d0-4d8d-9429-cfdbca7a76e1,notes,Digestive-health focus.,
organizations,93643559-acde-4e02-9a0b-5767255fe250,notes,Choice Plus Network.,
organizations,4ae25353-5ebb-4725-936a-84b5eb4684e4,notes,,
organizations,6f717c27-354d-43f1-9ab7-3f7cac216ebc,notes,,
organizations,bde5c7c9-c742-4b3b-bbfd-fbe84fcfb414,notes,,
organizations,1a057d38-38a4-4f7b-9747-10d8496f2e4b,notes,,
organizations,9d7b9f2e-7df5-46cc-8b99-30b1b28121be,notes,,
organizations,d8101bf2-9e7b-409d-b820-3e2aefd3689b,notes,,
organizations,6e73170d-b951-407f-96a4-d08b71e0d97b,notes,,
organizations,7adb36a4-2be5-4ef2-b299-63b819d25467,notes,,
organizations,d32b926d-066e-4069-b187-3b9b0eeac899,notes,,
organizations,be455fa7-28eb-4c7f-98e1-f82f6406b5bd,notes,,
organizations,aa51d45a-c9dc-41b3-8a3e-b04f25435e05,notes,,
organizations,9d27fa6b-e90f-4d83-8578-f3325246b6b4,notes,,
organizations,9804b2a8-e430-4f15-8a33-779d43de57f5,notes,,
organizations,c1f0f2bd-fc1e-4a83-9ebd-e85c88e0d72f,notes,,
organizations,a85aa1e3-d9a5-475f-b81e-100e26dcd87f,notes,,
organizations,e44eaf96-fa67-42a9-aebe-886a12e148ab,notes,,
organizations,01fd9a44-c6cc-496c-ab80-cedf2c51527c,notes,,
organizations,395b7386-8e67-4436-afe5-0f87ba8649b1,notes,,
organizations,ed30b3f0-4ddb-418a-8355-905695d85747,notes,,
organizations,2aca241b-fb08-4d26-af4c-da69a8af4e82,notes,,
organizations,2f3810ad-d473-4022-86cf-628527a463d5,notes,,
organizations,36688ebc-bac0-4b02-94df-5062562056e6,notes,,
organizations,90f0db3d-b12c-4eb9-8ee8-161bc6168b9c,notes,,
organizations,2e776b5e-ba0c-4d51-b282-0c69dbec15e0,notes,,
organizations,da239ea1-e891-4587-b8cd-b32153c2ca3a,notes,,
organizations,7cecc847-c2d1-4fdd-b8c1-fb1eff6dce73,notes,,
organizations,27b5f958-1cf2-40f5-b096-d50e60759571,notes,,
organizations,dca4b238-8abc-4f71-9f6d-29dd75492286,notes,,
organizations,c225cc7f-9136-444d-8d0c-5651e9779dc1,notes,,
organizations,b5839411-ae0b-43fd-b329-865113fed870,notes,,
organizations,6a7ee6e9-6e3e-406f-8603-8cffd83daba9,notes,,
organizations,482b11bf-f496-4376-825f-815cffb39a8e,notes,,
organizations,0e5bfa81-6484-4070-b1e8-eadec4cb82fc,notes,,
organizations,9569b5da-fc22-419e-ac53-f1d92e3b5311,notes,,
organizations,83e05a17-9aec-42ee-9454-57160f996b05,notes,,
organizations,71f11541-7616-4af0-8ab7-93caef424cb6,notes,,
organizations,cbf88d98-a2c0-4520-9e2c-812a96daf7df,notes,,
organizations,febae1ad-aba2-4223-8bda-9cc811604631,notes,,
organizations,d24e1968-a535-4ad4-b17e-08f6d7cf551e,notes,,
organizations,5e928403-6b29-429a-903e-f97dbd197380,notes,,
organizations,6e3323e9-ccae-4b6a-a847-2267fa2215bc,notes,,
organizations,b96b9d74-23e8-4fc7-a9d2-a742a4fb487c,notes,,
organizations,2fbff906-39e9-4c6d-8c85-8616e15e6743,notes,,
organizations,ae39012d-a257-4bcf-bc22-d21b894196ab,notes,,
organizations,2e5b1a81-7845-4dab-a23f-83c38b0fa986,notes,,
organizations,20f6287a-ce19-4c44-a053-ffca027a45fe,notes,,
organizations,a5026bba-8ce8-4576-aa3a-14db0cad7ca3,notes,,
organizations,02b3f885-f91a-4184-9734-66823876a685,notes,,
organizations,38abcb23-09cd-4204-b25a-77fef80629f5,notes,,
organizations,8d0ac60f-45ea-464a-b955-3bfeffeb4227,notes,,
organizations,eed87dec-a21b-4739-a151-d517ac695fad,notes,Digital rights. Collaboration + guest blog posts. High priority.,
organizations,3e12a9a9-5437-49bc-9d4d-b4ea35f8ed00,notes,Digital rights globally; also runs a grants program.,
organizations,58ef62bb-70b9-4818-b6c6-76ee0befd6d2,notes,Infrastructure grants (ISOC Foundation). ACTION: join Seattle chapter this week.,
organizations,eed6e705-5088-494e-8eec-c669127621a0,notes,Internet Freedom Fund — concept note ready to submit ($50k–$300k). Highest-priority active application.,
organizations,8776190c-f1df-47ab-8cb5-463a4960fe02,notes,Germany; funds base technology; open to international applicants. Assess Wild Cloud eligibility.,
organizations,052356af-c543-49c2-b754-4505fb23cc2d,notes,NGI Fediversity / NGI TALER grants (€5k–€50k). Deadline 2026-08-01.,
organizations,e6e84124-3797-42b8-9fe8-f2fdceefc18f,notes,Possible fiscal sponsor / member-project path. High priority to investigate.,
organizations,2496e714-142e-4c75-8199-47f0d46947f3,notes,In-kind DNS/CDN credits via Project Galileo (nonprofit program).,
organizations,64a91cf8-923c-4546-8340-4dab52da3e37,notes,Peer self-hosting project. Contact: Ammar Hussein.,
organizations,f21896bf-9d9b-470e-82f1-d646db33e163,notes,Privacy company; learn from business model; possible sponsor.,
